condition,checkpoint,policy,worlds,eligible,useful,raw_unauthorized,mediated_unauthorized,restoration,off_target,accuracy
s2202-b12-w1-yoked_internal,immediate_drift,yoked_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-yoked_internal,learned_phase_2,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w1-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w1-yoked_internal,learner_state_reset,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,initial,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,learned_phase_1,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,immediate_drift,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,learned_phase_2,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-constant_feedback,learner_state_reset,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,initial,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,learned_phase_1,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,immediate_drift,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,learned_phase_2,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-constant_feedback,learner_state_reset,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-fixed_wiring,initial,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-fixed_wiring,learned_phase_1,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-fixed_wiring,immediate_drift,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-fixed_wiring,learned_phase_2,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-fixed_wiring,learner_state_reset,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w1-fixed_wiring,initial,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w1-fixed_wiring,learned_phase_1,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w1-fixed_wiring,immediate_drift,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-fixed_wiring,learned_phase_2,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-fixed_wiring,learner_state_reset,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,initial,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-oracle_wiring,initial,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
