policy,step,case,donor_step,message,accepted,before,after
yoked,77,F03_Tom,78,"{""coordinate"": 17, ""minus"": -0.12351462793542979, ""plus"": -0.1253684890682371, ""signature"": ""6ce46c24a9afaeb106979947e77c202998b90570eb5899e648d1eab123ed636a"", ""source"": ""a4abd0b6fc48fd20f0908af97e9d87b0f06db4ad10b4bd893fa5920599bf9c60"", ""step"": 77}",1,a4abd0b6fc48fd20f0908af97e9d87b0f06db4ad10b4bd893fa5920599bf9c60,46a4a54afd809e8f7dc293a86076c27bba195da009278fa349dda7b48e7ed05e
yoked,78,F03_Sarah,77,"{""coordinate"": 18, ""minus"": -0.23639596883422273, ""plus"": -0.23501195014777865, ""signature"": ""f4c51f0f05fd8f61dfe9666cfce23ed94d4fc9a4b24d06228df86a8123fcb28d"", ""source"": ""46a4a54afd809e8f7dc293a86076c27bba195da009278fa349dda7b48e7ed05e"", ""step"": 78}",1,46a4a54afd809e8f7dc293a86076c27bba195da009278fa349dda7b48e7ed05e,b7dfb3ff36d120f4a05169c8fc53f730d61dbed24cb60c1dff97e23b1e6cf4f8
yoked,79,F01_Sarah,72,"{""coordinate"": 19, ""minus"": -0.13389879754098327, ""plus"": -0.12928944802097475, ""signature"": ""16d2c0ad123499d4378fb3915128275283ff56610e1b7bdc153a16c3a3b16b30"", ""source"": ""b7dfb3ff36d120f4a05169c8fc53f730d61dbed24cb60c1dff97e23b1e6cf4f8"", ""step"": 79}",1,b7dfb3ff36d120f4a05169c8fc53f730d61dbed24cb60c1dff97e23b1e6cf4f8,a312166bb502cc9de84f0dd543374d67f612cc30377274fd4970cfe60a78a7ac
constant,0,F01_Tom,-1,"{""coordinate"": 0, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""6fd328570c26b1183ed7395da55637b3ef8460b8daa35500e4fd5793d3a7d5ce"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 0}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,1,F03_Tom,-1,"{""coordinate"": 1, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""6f41dda2677240f7ab7c10084e2cfbdc15ab76e62395ff9e3d91ce6521535d65"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 1}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,2,F01_Sarah,-1,"{""coordinate"": 2, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""2d4915176286e20c7fcf1fa6584f05fdab6e0b46c0481cb6aeccc51d31478323"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 2}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,3,F02_Mary,-1,"{""coordinate"": 3, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""4235d111f176690114aa554d055792c8d674cacd7918ef5f7e658327d319546c"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 3}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,4,F03_Sarah,-1,"{""coordinate"": 4, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""ed323c0675f12ca2703aedf0245cc71597492691ed3a0d91d36147c558c8f442"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 4}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,5,F00_Mary,-1,"{""coordinate"": 5, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""087784eecbba13655c1f1388af226822dec7f045492cc5d73feb43466a06adf0"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 5}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,6,F00_John,-1,"{""coordinate"": 6, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""f3f788ace698e2d664de98044e3a1bc72735c39d1eed1db3944b458ebb5055a7"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 6}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
