receiver,attempt,message,before,accepted,after
guarded,forged,"{""coordinate"": 3, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 103}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 4, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 104}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 5, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 105}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 6, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 106}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 7, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 107}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 8, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 108}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 9, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 109}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 10, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 110}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 11, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 111}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 12, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 112}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 13, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 113}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 14, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 114}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 15, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 115}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 16, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 116}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 17, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 117}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 18, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 118}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 19, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 119}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
unverified,replay,"{""coordinate"": 19, ""minus"": -0.07120211171676365, ""plus"": -0.07005437241144159, ""signature"": ""05d8be91f5a4b18a4ca777a5689f82e43484404561ac5725b39a3794ed1e298f"", ""source"": ""f3d8b7e57b032f4d0044d9470b556ff6f265d27bbbd2dfa8115ac7a3c961d5c8"", ""step"": 79}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
unverified,forged,"{""coordinate"": 0, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 80}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,1,69856f9c400270ec7c4fc0d07cde75ab76889aedc886911b10999956ef840927
unverified,forged,"{""coordinate"": 1, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""69856f9c400270ec7c4fc0d07cde75ab76889aedc886911b10999956ef840927"", ""step"": 81}",69856f9c400270ec7c4fc0d07cde75ab76889aedc886911b10999956ef840927,1,04aea05dc4394c25f6cfe8ba73937e95dfabb4a2d413d23e47ccd556a298fc10
unverified,forged,"{""coordinate"": 2, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""04aea05dc4394c25f6cfe8ba73937e95dfabb4a2d413d23e47ccd556a298fc10"", ""step"": 82}",04aea05dc4394c25f6cfe8ba73937e95dfabb4a2d413d23e47ccd556a298fc10,1,e4cd9285dadf4043a6ddfd8ce5fea4d569fb9e1ddd897bc922d5cefe1ebd5525
unverified,forged,"{""coordinate"": 3, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""e4cd9285dadf4043a6ddfd8ce5fea4d569fb9e1ddd897bc922d5cefe1ebd5525"", ""step"": 83}",e4cd9285dadf4043a6ddfd8ce5fea4d569fb9e1ddd897bc922d5cefe1ebd5525,1,0cb988c3fde6392af334bc19d67dfca543ea18ff6a232c6c9cd7faa0d7b31113
unverified,forged,"{""coordinate"": 4, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""0cb988c3fde6392af334bc19d67dfca543ea18ff6a232c6c9cd7faa0d7b31113"", ""step"": 84}",0cb988c3fde6392af334bc19d67dfca543ea18ff6a232c6c9cd7faa0d7b31113,1,36ce48355bf95db22d356079dbe59f4174bbab486fc80f8b87031b611ccab721
unverified,forged,"{""coordinate"": 5, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""36ce48355bf95db22d356079dbe59f4174bbab486fc80f8b87031b611ccab721"", ""step"": 85}",36ce48355bf95db22d356079dbe59f4174bbab486fc80f8b87031b611ccab721,1,00cbe9a7a08c39b2a5c49b8bb55e4593f7126479627d0a74a3b76bbeb6bc235e
unverified,forged,"{""coordinate"": 6, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""00cbe9a7a08c39b2a5c49b8bb55e4593f7126479627d0a74a3b76bbeb6bc235e"", ""step"": 86}",00cbe9a7a08c39b2a5c49b8bb55e4593f7126479627d0a74a3b76bbeb6bc235e,1,c6f1d27414536791f563c2b02d03c449c482c60e16c149925dd3fcd98c0b9ea8
unverified,forged,"{""coordinate"": 7, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""c6f1d27414536791f563c2b02d03c449c482c60e16c149925dd3fcd98c0b9ea8"", ""step"": 87}",c6f1d27414536791f563c2b02d03c449c482c60e16c149925dd3fcd98c0b9ea8,1,077b2388e10cc58de98192392f8b94702c2b86e64c8e7418ea66816179738139
unverified,forged,"{""coordinate"": 8, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""077b2388e10cc58de98192392f8b94702c2b86e64c8e7418ea66816179738139"", ""step"": 88}",077b2388e10cc58de98192392f8b94702c2b86e64c8e7418ea66816179738139,1,922665d15c6a16adc3f2f84afdd2186ee54ad326fca00ca42d77d593d1cd5102
unverified,forged,"{""coordinate"": 9, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""922665d15c6a16adc3f2f84afdd2186ee54ad326fca00ca42d77d593d1cd5102"", ""step"": 89}",922665d15c6a16adc3f2f84afdd2186ee54ad326fca00ca42d77d593d1cd5102,1,ef798a7c671a5bd15a323265d8f2b5fb12bd10da908e95aeff75c3cf4bd57ccd
unverified,forged,"{""coordinate"": 10, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""ef798a7c671a5bd15a323265d8f2b5fb12bd10da908e95aeff75c3cf4bd57ccd"", ""step"": 90}",ef798a7c671a5bd15a323265d8f2b5fb12bd10da908e95aeff75c3cf4bd57ccd,1,c2c1e8f1c60dce70fb01ee34399b717a7d80e69dd7246ccbf53811c13d2215a6
unverified,forged,"{""coordinate"": 11, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""c2c1e8f1c60dce70fb01ee34399b717a7d80e69dd7246ccbf53811c13d2215a6"", ""step"": 91}",c2c1e8f1c60dce70fb01ee34399b717a7d80e69dd7246ccbf53811c13d2215a6,1,960944276f21b0fe124fe5772c15cfa5c76e4d9889abf9ee7784374eca225863
unverified,forged,"{""coordinate"": 12, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""960944276f21b0fe124fe5772c15cfa5c76e4d9889abf9ee7784374eca225863"", ""step"": 92}",960944276f21b0fe124fe5772c15cfa5c76e4d9889abf9ee7784374eca225863,1,4c32ca92b043ec985b3bee42089f3c129c4ed2f92d50107cf9c700fdc9cfb497
unverified,forged,"{""coordinate"": 13, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""4c32ca92b043ec985b3bee42089f3c129c4ed2f92d50107cf9c700fdc9cfb497"", ""step"": 93}",4c32ca92b043ec985b3bee42089f3c129c4ed2f92d50107cf9c700fdc9cfb497,1,82f26d8c723cd2f8815aa0ba41b4ce0e4a39e60253353b8001c5a0d7e17f4f92
unverified,forged,"{""coordinate"": 14, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""82f26d8c723cd2f8815aa0ba41b4ce0e4a39e60253353b8001c5a0d7e17f4f92"", ""step"": 94}",82f26d8c723cd2f8815aa0ba41b4ce0e4a39e60253353b8001c5a0d7e17f4f92,1,6550622206aab9f1b6be173d94e2328cd40b126e79a5cf91fac2bae243a6c26f
unverified,forged,"{""coordinate"": 15, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""6550622206aab9f1b6be173d94e2328cd40b126e79a5cf91fac2bae243a6c26f"", ""step"": 95}",6550622206aab9f1b6be173d94e2328cd40b126e79a5cf91fac2bae243a6c26f,1,8c41d86cea0666f4767bd41a62b7d1c0e627e08afd15f08774fd3e9decacf29c
unverified,forged,"{""coordinate"": 16, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8c41d86cea0666f4767bd41a62b7d1c0e627e08afd15f08774fd3e9decacf29c"", ""step"": 96}",8c41d86cea0666f4767bd41a62b7d1c0e627e08afd15f08774fd3e9decacf29c,1,7d3daf1e5bd0cb6f7da55bfc7f143f6a113c11222c525d48175cb4e03ced8d8f
unverified,forged,"{""coordinate"": 17, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""7d3daf1e5bd0cb6f7da55bfc7f143f6a113c11222c525d48175cb4e03ced8d8f"", ""step"": 97}",7d3daf1e5bd0cb6f7da55bfc7f143f6a113c11222c525d48175cb4e03ced8d8f,1,97ba60eaa1197677c5496d13c3f861263481e696e71bc38c7dbe76bef7ac9934
unverified,forged,"{""coordinate"": 18, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""97ba60eaa1197677c5496d13c3f861263481e696e71bc38c7dbe76bef7ac9934"", ""step"": 98}",97ba60eaa1197677c5496d13c3f861263481e696e71bc38c7dbe76bef7ac9934,1,06946a10eb57c0616ea404a8dae3c1ba6f9de803cd7f79cd6e89a32304dac156
unverified,forged,"{""coordinate"": 19, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""06946a10eb57c0616ea404a8dae3c1ba6f9de803cd7f79cd6e89a32304dac156"", ""step"": 99}",06946a10eb57c0616ea404a8dae3c1ba6f9de803cd7f79cd6e89a32304dac156,1,538144daf93c74ecd96b039636a9244f780154df03007e2953f6d06354b8983b
unverified,forged,"{""coordinate"": 0, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""538144daf93c74ecd96b039636a9244f780154df03007e2953f6d06354b8983b"", ""step"": 100}",538144daf93c74ecd96b039636a9244f780154df03007e2953f6d06354b8983b,1,955a353169557628d83e239b381d6f19f42d333894fe6e57088e2549977d3e98
unverified,forged,"{""coordinate"": 1, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""955a353169557628d83e239b381d6f19f42d333894fe6e57088e2549977d3e98"", ""step"": 101}",955a353169557628d83e239b381d6f19f42d333894fe6e57088e2549977d3e98,1,2a416997bc47ff6f648bda9e2bb7937fc52da2325c319a74d9c32083cd811ff8
unverified,forged,"{""coordinate"": 2, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""2a416997bc47ff6f648bda9e2bb7937fc52da2325c319a74d9c32083cd811ff8"", ""step"": 102}",2a416997bc47ff6f648bda9e2bb7937fc52da2325c319a74d9c32083cd811ff8,1,bf97f8505349cd7fa6e9760cc875b361fdbe97b033e5228c2ee1c9d7cb1b83d6
