condition,stage,task,task_name,n,correct_mean,source_bits_mean,samples_mean,retrievals_mean,operations_mean,assembly_bits_mean,memory_entries_mean,memory_serialized_bytes_mean
no_new_sampling_after_change,0,3,ordered_binding,60,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
no_new_sampling_after_change,1,0,focused_0,36,0.25,0.0,0.0,0.0,1.0,0.0,6.0,259.0
no_new_sampling_after_change,1,1,focused_5,36,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,6.0,259.0
no_new_sampling_after_change,1,2,broad_coarse,36,0.05555555555555555,0.0,0.0,0.0,3.0,0.0,6.0,259.0
no_new_sampling_after_change,1,3,ordered_binding,36,0.027777777777777776,0.0,0.0,0.0,2.0,0.0,6.0,259.0
no_new_sampling_after_change,1,4,delayed_pair,48,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
no_new_sampling_after_change,1,5,temporal_order,48,0.4166666666666667,0.0,0.0,1.0,2.0,2.0,6.0,259.0
time_order_reversed,0,0,focused_0,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
time_order_reversed,0,1,focused_5,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
time_order_reversed,0,2,broad_coarse,60,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
time_order_reversed,0,3,ordered_binding,60,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
time_order_reversed,1,0,focused_0,36,0.25,2.0,1.0,0.0,1.0,2.0,7.0,302.0
time_order_reversed,1,1,focused_5,36,0.2222222222222222,2.0,1.0,0.0,1.0,2.0,7.0,302.0
time_order_reversed,1,2,broad_coarse,36,0.05555555555555555,3.0,3.0,0.0,3.0,3.0,9.0,391.0
time_order_reversed,1,3,ordered_binding,36,0.027777777777777776,4.0,2.0,0.0,2.0,4.0,8.0,345.0
time_order_reversed,1,4,delayed_pair,48,0.020833333333333332,0.0,0.0,2.0,2.0,4.0,6.0,259.0
time_order_reversed,1,5,temporal_order,48,0.25,2.0,1.0,1.0,2.0,4.0,7.0,302.0
