compiled_row_ordinal,cell_type,compiled_response,compiled_count,candidate_led_group_count,candidate_led_group_ordinals,comparison,derived_response,complete_window_count,response_abs_difference,amplitude_agrees,count_agrees,candidate_mean_min,candidate_mean_max
69,pR7,0.23323274654698917,23.0,1,[2649],one_led_group,0.23323274654698917,23,0.0,True,True,0.23323274654698917,0.23323274654698917
70,pR7,0.2904100164665473,26.0,1,[2650],one_led_group,0.29041001646654735,26,5.551115123125783e-17,True,True,0.29041001646654735,0.29041001646654735
71,pR7,0.25756800962372883,46.0,1,[2651],one_led_group,0.29551992133406224,48,0.03795191171033341,False,False,0.29551992133406224,0.29551992133406224
72,pR7,0.12944612037167136,13.0,1,[2652],one_led_group,0.12944612037167136,13,0.0,True,True,0.12944612037167136,0.12944612037167136
73,pR7,0.12495803686470953,13.0,1,[2653],one_led_group,0.12495803686470956,13,2.7755575615628914e-17,True,True,0.12495803686470956,0.12495803686470956
74,pR7,0.20126891227220747,18.0,1,[2654],one_led_group,0.20126891227220745,18,2.7755575615628914e-17,True,True,0.20126891227220745,0.20126891227220745
75,pR7,0.8230576247116884,14.0,1,[2655],one_led_group,0.8230576247116883,14,1.1102230246251565e-16,True,True,0.8230576247116883,0.8230576247116883
76,pR7,0.11809224765316617,118.0,1,[2656],one_led_group,0.13281125089769022,121,0.014719003244524048,False,False,0.13281125089769022,0.13281125089769022
77,pR7,-0.028553900304387907,11.0,1,[2657],one_led_group,-0.037667627077730206,13,0.009113726773342299,False,False,-0.037667627077730206,-0.037667627077730206
78,pR7,0.04938078273918838,11.0,1,[2658],one_led_group,0.061165055262693495,13,0.011784272523505113,False,False,0.061165055262693495,0.061165055262693495
79,pR7,-0.009054000366395153,13.0,1,[2659],one_led_group,-0.009054000366395155,13,1.734723475976807e-18,True,True,-0.009054000366395155,-0.009054000366395155
80,pR7,0.0401518490712671,13.0,1,[2660],one_led_group,0.04015184907126709,13,6.938893903907228e-18,True,True,0.04015184907126709,0.04015184907126709
81,pR7,0.013265693121320697,29.0,1,[2661],one_led_group,0.02421788267261541,31,0.010952189551294714,False,False,0.02421788267261541,0.02421788267261541
82,pR7,0.0912637358476482,8.0,1,[2662],one_led_group,0.09126373584764819,8,1.3877787807814457e-17,True,True,0.09126373584764819,0.09126373584764819
83,pR7,0.03148992588090964,18.0,1,[2664],one_led_group,0.03148992588090963,18,6.938893903907228e-18,True,True,0.03148992588090963,0.03148992588090963
84,pR7,0.6984406089033526,8.0,1,[2665],one_led_group,0.6984406089033529,8,3.3306690738754696e-16,True,True,0.6984406089033529,0.6984406089033529
85,pR7,0.0003600577711988448,14.0,1,[2666],one_led_group,0.0003600577711988423,14,2.4936649967166602e-18,True,True,0.0003600577711988423,0.0003600577711988423
86,pR7,0.11841543484612659,31.0,1,[2667],one_led_group,0.11841543484612663,31,4.163336342344337e-17,True,True,0.11841543484612663,0.11841543484612663
87,pR7,0.17595126579710532,18.0,1,[2668],one_led_group,0.17595126579710532,18,0.0,True,True,0.17595126579710532,0.17595126579710532
88,pR7,0.09474838441257473,25.0,1,[2669],one_led_group,0.10382843628396442,26,0.009080051871389688,False,False,0.10382843628396442,0.10382843628396442
89,pR7,0.6646284587476395,143.0,1,[2670],one_led_group,0.6342567604541466,148,0.030371698293492955,False,False,0.6342567604541466,0.6342567604541466
90,pR7,0.15674511676804337,22.0,1,[2671],one_led_group,0.16611683924227627,23,0.009371722474232902,False,False,0.16611683924227627,0.16611683924227627
91,pR7,0.23280504906579158,51.0,1,[2672],one_led_group,0.2328050490657916,51,2.7755575615628914e-17,True,True,0.2328050490657916,0.2328050490657916
92,pR7,0.29871880402107404,83.0,1,[2673],one_led_group,0.3266741984109552,85,0.02795539438988115,False,False,0.3266741984109552,0.3266741984109552
93,pR7,0.2537398635704275,22.0,1,[2674],one_led_group,0.25373986357042744,22,5.551115123125783e-17,True,True,0.25373986357042744,0.25373986357042744
94,pR7,0.27238473603671803,31.0,1,[2675],one_led_group,0.27238473603671803,31,0.0,True,True,0.27238473603671803,0.27238473603671803
95,pR7,0.28496762990520114,31.0,1,[2676],one_led_group,0.28496762990520114,31,0.0,True,True,0.28496762990520114,0.28496762990520114
96,pR7,0.24876291808569556,48.0,1,[2677],one_led_group,0.26724425694787873,49,0.018481338862183172,False,False,0.26724425694787873,0.26724425694787873
97,pR7,0.2584200775386771,48.0,1,[2678],one_led_group,0.26947759232669055,49,0.011057514788013478,False,False,0.26947759232669055,0.26947759232669055
98,pR7,1.0091203549571557,26.0,1,[2679],one_led_group,1.009120354957156,26,2.220446049250313e-16,True,True,1.009120354957156,1.009120354957156
99,pR7,0.6172591653269119,105.0,1,[2680],one_led_group,0.6024684231552951,106,0.0147907421716168,False,False,0.6024684231552951,0.6024684231552951
100,pR7,0.22862974668930408,10.0,1,[2681],one_led_group,0.228629746689304,10,8.326672684688674e-17,True,True,0.228629746689304,0.228629746689304
101,pR7,0.20539283792380353,68.0,1,[2682],one_led_group,0.23384488940754056,71,0.02845205148373703,False,False,0.23384488940754056,0.23384488940754056
102,pR7,0.20418591674953954,17.0,1,[2683],one_led_group,0.31808000040208195,19,0.11389408365254242,False,False,0.31808000040208195,0.31808000040208195
103,pR7,0.08433222502208597,20.0,1,[2684],one_led_group,0.12572764997697566,21,0.041395424954889695,False,False,0.12572764997697566,0.12572764997697566
104,pR7,0.0932956491076817,20.0,1,[2685],one_led_group,0.12101343093415769,21,0.027717781826475982,False,False,0.12101343093415769,0.12101343093415769
