condition,receiver,kind,envelope,accepted,before,after
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 66, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 66, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,384ef260410c466cd8b51bd4b56eef4e274900bdcfe816e9d3a1a2b8602dec27,403befe37d160ebb6b0d675344265c25c3aa556b3b77de97c159ab7af724750e
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 67, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 67, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,403befe37d160ebb6b0d675344265c25c3aa556b3b77de97c159ab7af724750e,9ac327e116c3273692bc22caa7fdbf98c2be7582f965ca2fa850507102e40c38
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 68, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 68, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,9ac327e116c3273692bc22caa7fdbf98c2be7582f965ca2fa850507102e40c38,67dd94889c88e1ef7336ef0cbf1303c6bc069bf04547bdc8ee2e02a147b5d081
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 69, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 69, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,67dd94889c88e1ef7336ef0cbf1303c6bc069bf04547bdc8ee2e02a147b5d081,76f6bb5883111ba9c2b8dac127783c32cc2ca880015dda00a308ee00476f1f19
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 70, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 70, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,76f6bb5883111ba9c2b8dac127783c32cc2ca880015dda00a308ee00476f1f19,e2d7d4ec0b56ebe2ee2690120450605c16f45e8b793c15fbc6c3c01ff253459a
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 71, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 71, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,e2d7d4ec0b56ebe2ee2690120450605c16f45e8b793c15fbc6c3c01ff253459a,b48a54cffcb47f2cc95ba2521e22f90aefb14111d8f813ae8db819f01834fa29
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 72, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 72, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,b48a54cffcb47f2cc95ba2521e22f90aefb14111d8f813ae8db819f01834fa29,b9aad91a022be9928dc81e9115542fb1ef78e9c8d715a4e04172119006487b11
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 73, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 73, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,b9aad91a022be9928dc81e9115542fb1ef78e9c8d715a4e04172119006487b11,8e12d1d421d8fef044af80f9b29deac93013a4a7c0cb55c378e4f9b2d3ababdd
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 74, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 74, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,8e12d1d421d8fef044af80f9b29deac93013a4a7c0cb55c378e4f9b2d3ababdd,dcb093ee88da99683c92a1f3760f302cbbe9648e568c0f61a8f8424e31b457ab
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 75, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 75, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,dcb093ee88da99683c92a1f3760f302cbbe9648e568c0f61a8f8424e31b457ab,a56594c7a5cc126634ef49e7835e27a9c95707015968330ce2632ecce0bcb615
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 76, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 76, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,a56594c7a5cc126634ef49e7835e27a9c95707015968330ce2632ecce0bcb615,8c6bd46b04af6bb96f1b5c7fb042c1e063288d48ba0f59cded81868dd4ae410a
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 77, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 77, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,8c6bd46b04af6bb96f1b5c7fb042c1e063288d48ba0f59cded81868dd4ae410a,8b41dc094aefb29abb739f3df87ce891f6913d62f1c873a33b7369db90acb3d7
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 78, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 78, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,8b41dc094aefb29abb739f3df87ce891f6913d62f1c873a33b7369db90acb3d7,c696fbcd7209f12bab2ca6e7ed6a151ca7df8c28b5ca566ddccb6d36974f1646
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 79, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 79, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,c696fbcd7209f12bab2ca6e7ed6a151ca7df8c28b5ca566ddccb6d36974f1646,4715ae75ec40ef030837902bb064091f287de911d74da6c4d4e325f0cbabe1a2
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 80, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 80, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,4715ae75ec40ef030837902bb064091f287de911d74da6c4d4e325f0cbabe1a2,a7fecee81aef4d82ed524ebed81a450369ecb62de49b11a7907e1d997554c946
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 81, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 81, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,a7fecee81aef4d82ed524ebed81a450369ecb62de49b11a7907e1d997554c946,7ec58fcf1fe5d4fc13386689bc08a9e21c96f8a5a9ff45630d7010762c28a59e
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 82, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 82, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,7ec58fcf1fe5d4fc13386689bc08a9e21c96f8a5a9ff45630d7010762c28a59e,a1f50bea33aa05c53e236a6058ee23afc8558677a8ab01ff6c75d533f10bf5fa
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 83, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
