event,condition,policy,phase,visit,context,world,wiring,action,reward,donor_event,internal_reward,task_reward,envelope,before,after,accepted
s1101-b48-w0-yoked_internal-p1-c0-t31,s1101-b48-w0-yoked_internal,yoked_internal,1,31,0,144,0,1,0.2949081410872718,s1101-b48-w1-live_internal-p1-c0-t31,0.9975806857489895,0.9999999999971614,"{""action"": 1, ""context"": 0, ""nonce"": 62, ""phase"": 1, ""reward"": 0.2949081410872718, ""signature"": ""111486107db6d71131dbbce1a787aa2f696610e478c4c9a11434fb74d45dd600""}",a8eaea9997607ef3c6a84d02a640285c1766b96726eb053835b32d01add889de,ad52ec5a5406237791fdca001444f17ca09ef603810f5713936ea4c4ac145cfa,1
s1101-b48-w0-yoked_internal-p1-c1-t31,s1101-b48-w0-yoked_internal,yoked_internal,1,31,1,240,0,1,0.9815277475019737,s1101-b48-w1-live_internal-p1-c1-t31,0.18672635926612446,0.9999999987514341,"{""action"": 1, ""context"": 1, ""nonce"": 63, ""phase"": 1, ""reward"": 0.9815277475019737, ""signature"": ""130e34b91e7956fde7240d437f59c306080ecab9f8b1a4763f4fb6759a4982ff""}",b271cb48bb6ccdafec52018952d940db9801306992c9a42d2726da8286eef1a2,d4781187beac951308237dfbc64e58e6564968d71e24db9acbb865b6e9350584,1
s1101-b48-w0-yoked_internal-p1-c0-t32,s1101-b48-w0-yoked_internal,yoked_internal,1,32,0,152,0,2,0.9175212236117977,s1101-b48-w1-live_internal-p1-c0-t32,0.5973355742495234,0.9999999999056177,"{""action"": 2, ""context"": 0, ""nonce"": 64, ""phase"": 1, ""reward"": 0.9175212236117977, ""signature"": ""25e17daad935ae160f29fe9a53b1e9fbe46850054ddb00dee38783b69ec25cbe""}",42e28fc11baa695266d7e4851016cd8a7f5601c6995c2d21239eecabadfa8cf2,5815343739a150b18297ab568bed62cbc472cb477694121f2db2e6b82a51e90e,1
s1101-b48-w0-yoked_internal-p1-c1-t32,s1101-b48-w0-yoked_internal,yoked_internal,1,32,1,90,0,1,0.7829006536837503,s1101-b48-w1-live_internal-p1-c1-t32,0.7326263101075903,0.9999999999871166,"{""action"": 1, ""context"": 1, ""nonce"": 65, ""phase"": 1, ""reward"": 0.7829006536837503, ""signature"": ""75c9e773c7278ac2409908693f18ebe62dc19442e77af7dd3401406c8bace430""}",6e6caa54de7f8620ea441cd5f5562b4c05fa1e17b62d398ccf296662819e0162,3d3de6bd190127704d99e60b51b8587e1c1f5c967a64c2d1324970d62ea426b2,1
s1101-b48-w0-yoked_internal-p1-c0-t33,s1101-b48-w0-yoked_internal,yoked_internal,1,33,0,54,0,2,0.9247405567173375,s1101-b48-w1-live_internal-p1-c0-t33,0.8136883926747778,0.9999999999938584,"{""action"": 2, ""context"": 0, ""nonce"": 66, ""phase"": 1, ""reward"": 0.9247405567173375, ""signature"": ""bd6d8d9d697177f0a1307a2b59bb1603d7414601ae886be8abdd7235f92bc65b""}",15879980d0b78629359985b825aeb50c4b84b1494bc49da681d8ad3433153ae7,d7cb9e4a4e71b7504734acf3da26cbfbfe4cd6dbcad1042d3b569a25e8f3d0f4,1
s1101-b48-w0-yoked_internal-p1-c1-t33,s1101-b48-w0-yoked_internal,yoked_internal,1,33,1,200,0,1,0.7478724129114147,s1101-b48-w1-live_internal-p1-c1-t33,0.6422689477663064,0.999999999827875,"{""action"": 1, ""context"": 1, ""nonce"": 67, ""phase"": 1, ""reward"": 0.7478724129114147, ""signature"": ""fea6e6d0909a05892820d1231693436ca79fcd34a3ef63ed0b76b0b1ec7de207""}",622aeeb9ebe5f1114f524da06c1ecbe63ce30fe2fc661dcdc8744952ed64955b,5fd5e1884a3cbab5672fba50ab8ed6be357d8035f5d25d6348e95579971bb0f0,1
s1101-b48-w0-yoked_internal-p1-c0-t34,s1101-b48-w0-yoked_internal,yoked_internal,1,34,0,62,0,2,0.9812093543934888,s1101-b48-w1-live_internal-p1-c0-t34,0.430211141919267,0.9999999999967475,"{""action"": 2, ""context"": 0, ""nonce"": 68, ""phase"": 1, ""reward"": 0.9812093543934888, ""signature"": ""e0ccca67ceb0bbae6f8bf2f44de39886d1a3a7a93e136450b36408b5b2e7c45e""}",c29a41b202e7970a2e14091907ef5f123817b53d95cb0e94682ad79de6b18640,2517134bddf875d4d59695261eb09dad032014704dff11c06514c5022747113e,1
s1101-b48-w0-yoked_internal-p1-c1-t34,s1101-b48-w0-yoked_internal,yoked_internal,1,34,1,81,0,1,0.9887732455919434,s1101-b48-w1-live_internal-p1-c1-t34,0.47980692085630094,0.00017837552695743053,"{""action"": 1, ""context"": 1, ""nonce"": 69, ""phase"": 1, ""reward"": 0.9887732455919434, ""signature"": ""11ab7d399b742b68aab859c1fba2da854396c7186fc70c04908afe79d7463c59""}",1dea0e387418a16dda4b16a27700cf8700e2e9eae013b73bdba9ac81afb795c3,57db9c669dd20c0698139cf10776db8805bec5a8185b5662e5ea108df9937ec3,1
s1101-b48-w0-yoked_internal-p1-c0-t35,s1101-b48-w0-yoked_internal,yoked_internal,1,35,0,185,0,2,0.8282400403081476,s1101-b48-w1-live_internal-p1-c0-t35,0.48084643445593167,0.9999999999983968,"{""action"": 2, ""context"": 0, ""nonce"": 70, ""phase"": 1, ""reward"": 0.8282400403081476, ""signature"": ""f1a83a8364ae3c9549d976b327b7e17655ce907d45fbf044fe89accb8a067ed9""}",3c8f6318d77ff5c476fc35395f679a95680b69bcef09dde00c4c93f01582f5dc,d874913a3bae6871aea4186fb3ec088ff1f029be5464028ca2da16f6123c63f4,1
s1101-b48-w0-yoked_internal-p1-c1-t35,s1101-b48-w0-yoked_internal,yoked_internal,1,35,1,86,0,2,0.7147790713246993,s1101-b48-w1-live_internal-p1-c1-t35,0.7667901073706926,0.9999999999871166,"{""action"": 2, ""context"": 1, ""nonce"": 71, ""phase"": 1, ""reward"": 0.7147790713246993, ""signature"": ""11c0924daae2f581976eb4c7c0409e55ce804de54f365d356aaa646b628012a3""}",cbad7a422a5a9f135a7a6caf047ee3fd596f65d3c9bef1776274fd3403f5e756,84bdd7384c888c58fe29b17dc89bcf24673fdf4c9bd06206825bc42259edff94,1
s1101-b48-w0-yoked_internal-p1-c0-t36,s1101-b48-w0-yoked_internal,yoked_internal,1,36,0,30,0,2,0.944106596765883,s1101-b48-w1-live_internal-p1-c0-t36,0.5479892818435705,0.9999999999954433,"{""action"": 2, ""context"": 0, ""nonce"": 72, ""phase"": 1, ""reward"": 0.944106596765883, ""signature"": ""1d720fc998a76cfe458a90a802a8c7c6b2118a6ea53ebf5df15cbf57997fd2ec""}",4678d420ae1be6db47ae87ca70afc89a9db71ec601dfac7bce343bbd0298ff72,b96df2c8d783b4c069502677da26f0a29b63e85d9a2d8b9348f7d7c8c72606f6,1
s1101-b48-w0-yoked_internal-p1-c1-t36,s1101-b48-w0-yoked_internal,yoked_internal,1,36,1,93,0,1,0.9222951587892125,s1101-b48-w1-live_internal-p1-c1-t36,0.20068600507618584,4.1043951937047574e-05,"{""action"": 1, ""context"": 1, ""nonce"": 73, ""phase"": 1, ""reward"": 0.9222951587892125, ""signature"": ""2d7f699dd73032dfc53d8120718d285aefecac89362fa5407d8edf8eb1c6eaeb""}",8d5d5bd606e4c47a88a18d3f2b1f7cc70be0d0e8df1ae6be0eefe94a605d1fc7,9e418af09fdf109506788530f2e8b0998273602b03116229648f2bdeb996bd5f,1
s1101-b48-w0-yoked_internal-p1-c0-t37,s1101-b48-w0-yoked_internal,yoked_internal,1,37,0,191,0,2,0.9862475898354139,s1101-b48-w1-live_internal-p1-c0-t37,0.11045264839295843,0.999999999999435,"{""action"": 2, ""context"": 0, ""nonce"": 74, ""phase"": 1, ""reward"": 0.9862475898354139, ""signature"": ""c588a7d1b42122fd645a467e4dbac631e8e226a9a9b83aea26d1cee6d55b586e""}",12475d6deeeb28e13f0a0269281456118923923910836abbc4e10f8c26d1770e,ea850a5cea5c0f87f750fea254795c0e5b2ad4768dafb5347af0bcd5fa1f2501,1
s1101-b48-w0-yoked_internal-p1-c1-t37,s1101-b48-w0-yoked_internal,yoked_internal,1,37,1,103,0,1,0.8532951360764675,s1101-b48-w1-live_internal-p1-c1-t37,0.5703203690103196,0.9999999999506777,"{""action"": 1, ""context"": 1, ""nonce"": 75, ""phase"": 1, ""reward"": 0.8532951360764675, ""signature"": ""55f34e409e5fbaa97876e0dc366617e003d42a3d364b9e8df29b930b663ba45d""}",6c372b3942e77fb9c400f6ca7a7e7a3dc96b8f3adb93bc7a3c2bfc8b9304cdd8,a174c435aff0dad1edd738bcd95c82090dc7ac9a40c36ae56896a0b491fe7492,1
