parameters,modules,protocol,context,cell,title,odor,stage,nativeFigure,native,local,errorHz
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,5,april-2modules-attractive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,0,april-2modules-attractive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,1,april-2modules-attractive.fig,2.578845977829541,3.304465800643129,0.725619822813588
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,2,april-2modules-attractive.fig,-8.49319795336224,-11.2,-2.70680204663776
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,3,april-2modules-attractive.fig,-4.829495731825139,-7.832356294918458,-3.0028605630933196
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,4,april-2modules-attractive.fig,8.976466286245664,8.106768508934106,-0.8696977773115577
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,0,5,april-2modules-attractive.fig,13.333427724246896,12.771441142527898,-0.5619865817189975
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,0,april-2modules-attractive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,1,april-2modules-attractive.fig,13.802939146007688,18.087636836216102,4.284697690208414
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,2,april-2modules-attractive.fig,17.613634348666054,19.96,2.3463656513339473
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,3,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,4,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,figure_5c_script,0,5,MBON-\alpha3,1,5,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,0,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,1,april-2modules-repulsive.fig,2.3126668906426735,2.8748728798102485,0.562205989167575
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,2,april-2modules-repulsive.fig,2.5394452720929026,3.14815114400202,0.6087058719091174
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,3,april-2modules-repulsive.fig,3.9320608375800172,3.998431899000491,0.06637106142047378
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,4,april-2modules-repulsive.fig,3.66621676411304,3.66790990946701,0.001693145353970138
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,0,5,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,0,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,1,april-2modules-repulsive.fig,1.624330634225702,2.1111392564173546,0.48680862219165255
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,2,april-2modules-repulsive.fig,1.6363123678740759,2.138047483158105,0.501735115284029
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,3,april-2modules-repulsive.fig,3.702765567562878,3.7134140494587617,0.010648481895883855
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,4,april-2modules-repulsive.fig,3.6611190762437658,3.6615623524951344,0.00044327625136864057
March 2023,2,figure_5c_script,1,0,DAN-\gamma1pedc,1,5,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,0,april-2modules-repulsive.fig,3.434047927041533,3.434047927041533,0.0
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,1,april-2modules-repulsive.fig,8.372852078592224,10.054221846514757,1.6813697679225328
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,2,april-2modules-repulsive.fig,10.557603567919799,12.66766531229941,2.110061744379612
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,3,april-2modules-repulsive.fig,6.142564051577703,6.85481859042511,0.7122545388474073
